"ID","time","name","weights alpha","weights beta","model A","model B","model C","alpha","beta","mode","use MBW","plus lora","custum name","save setting","use ID"
104,2023.06.06 19.46.47,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05::1,IN05::OUT05::1",normal,
105,2023.06.06 19.46.59,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:layers:1,IN05::OUT05:layers:1",normal,
106,2023.06.06 19.47.12,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn1:1,IN05::OUT05:attn1:1",normal,
107,2023.06.06 19.47.25,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn2:1,IN05::OUT05:attn2:1",normal,
108,2023.06.06 19.47.37,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:ff.net:1,IN05::OUT05:ff.net:1",normal,
109,2023.06.06 19.47.50,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05::1,IN06::OUT05::1",normal,
110,2023.06.06 19.48.03,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:layers:1,IN06::OUT05:layers:1",normal,
111,2023.06.06 19.48.16,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn1:1,IN06::OUT05:attn1:1",normal,
112,2023.06.06 19.48.29,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn2:1,IN06::OUT05:attn2:1",normal,
113,2023.06.06 19.48.42,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:ff.net:1,IN06::OUT05:ff.net:1",normal,
